model,rmse,mae,r2
LinearRegression,0.624519930798013,0.5035304415524375,0.4031803412796219
RandomForest,0.5489561116337079,0.42196875,0.5388674666387723
RandomForest_GridSearch,0.5489561116337079,0.42196875,0.5388674666387723
XGBoost_默认,0.5927,0.4175,0.4625
XGBoost_调优,0.5845,0.4673,0.4773
XGBoost_超强正则化,0.6528507934704557,0.5337435603141785,0.34780353307724
集成模型,0.583433878769859,0.469160164654255,0.47912465356930456
