model,rmse,mae,r2
LinearRegression,0.624519930798013,0.5035304415524375,0.4031803412796219
RandomForest,0.5489561116337079,0.42196875,0.5388674666387723
RandomForest_GridSearch,0.5489561116337079,0.42196875,0.5388674666387723
XGBoost,0.5844676337030309,0.4673073887825012,0.47727715969085693
